"fzg_typ","origin","messwerttyp","Einrichtpunkte"
"S214","Bodyshop","1-10_A2R.G","1"
"S214","Bodyshop","1-10_A3L.G","1"
"S214","Bodyshop","1-10_A3R.G","1"
"S214","Bodyshop","1-10_A3L.F","1"
"S214","Bodyshop","1-10_A3R.F","1"
"S214","Bodyshop","1-5_A0L.Z","1"
"S214","Bodyshop","1-5_A0R.Z","1"
"S214","Bodyshop","1-5_A1R.F","1"
"S214","Bodyshop","1-5_A1R.G","1"
"S214","Bodyshop","1-5_A1L.F","1"
"S214","Bodyshop","1-5_A1L.G","1"
"S214","Bodyshop","1-5_A2L.G","1"
"S214","Bodyshop","1-5_A2L.F","1"
"S214","Bodyshop","1-5_A2R.G","1"
"S214","Bodyshop","1-5_A2R.F","1"
"S214","Bodyshop","1.5_A4R.F","1"
"S214","Bodyshop","1.5_A4L.F","1"
"S214","Bodyshop","5-6_A1L.F","1"
"S214","Bodyshop","5-6_A1L.G","1"
"S214","Bodyshop","5-6_A1R.F","1"
"S214","Bodyshop","5-6_A1R.G","1"
"S214","Bodyshop","5-6_A2L.F","1"
"S214","Bodyshop","5-6_A2L.G","1"
"S214","Bodyshop","5-6_A2R.F","1"
"S214","Bodyshop","5-6_A2R.G","1"
"S214","Bodyshop","5-6_A4L.F","1"
"S214","Bodyshop","5-6_A4R.F","1"
"S214","Bodyshop","1-6_A0L.Z","1"
"S214","Bodyshop","1-6_A0R.Z","1"
"S214","Bodyshop","7-8_A1L.F","1"
"S214","Bodyshop","7-8_A1L.G","1"
"S214","Bodyshop","7-8_A1R.F","1"
"S214","Bodyshop","7-8_A1R.G","1"
"S214","Bodyshop","7-8_A2L.F","1"
"S214","Bodyshop","7-8_A2L.G","1"
"S214","Bodyshop","7-8_A2R.F","1"
"S214","Bodyshop","7-8_A2R.G","1"
"S214","Bodyshop","1-7_A1L.F","1"
"S214","Bodyshop","1-7_A1L.G","1"
"S214","Bodyshop","1-7_A1R.F","1"
"S214","Bodyshop","1-7_A1R.G","1"
"S214","Bodyshop","6-7_A1L.F","1"
"S214","Bodyshop","6-7_A1L.G","1"
"S214","Bodyshop","6-7_A1R.F","1"
"S214","Bodyshop","6-7_A1R.G","1"
"S214","Bodyshop","6-7_A2L.F","1"
"S214","Bodyshop","6-7_A2L.G","1"
